gelukm;gelukv;educm;heightm;BMIm;healthm;consm;extram;agreem;emom;autom;riskym;Agem;educv;heightv;BMIv;healthv;consv;extrav;agreev;emov;autov;riskyv;Agev
2;2;2;176;18,724174;3;0,078951;-0,767815;-0,283537;0,186892;-0,374031;-0,130459;41;2;177;18,513199;3;0,345542;-0,787161;0,251647;0,218452;0,43145;-0,066901;35
2;2;2;177;26,493025;3;-1,032096;0,329836;-0,287258;-0,723095;0,121873;0,236944;40;1;168;19,84127;2;-0,743163;-0,239318;-0,00987;-0,323327;-0,076507;0,214041;40
2;1;2;184;25,106333;4;0,346999;-0,218007;0,493573;-0,03467;-0,453734;-0,145895;31;2;168;20,549887;3;-0,18764;1,145858;0,477702;0,973909;0,419397;0,173864;30
2;2;2;187;27,16692;3;-0,62031;0,055914;-0,00987;-0,13477;0,304461;0,415191;35;1;158;25,636917;2;-0,054345;-0,36177;-0,519388;-0,367106;-0,213216;0,12452;34
2;2;2;175;26,12245;2;0,058795;0,045259;-0,943405;-0,456233;-0,241015;-0,746445;47;2;164;26,397978;3;-0,743163;-0,238336;-0,198037;-0,607888;-0,011142;-1,389316;36
2;1;3;176;22,275311;4;-0,084943;0,755718;-0,937331;-0,089185;0,006937;0,321178;40;3;163;20,700817;4;0,211518;0,329836;-0,017806;0,29709;-0,060714;0,147238;40
2;2;1;182;23,849777;3;-0,741707;-0,502584;-0,78698;0,032765;-0,615956;0,276241;32;1;173;22,720438;2;0,883094;0,028861;-0,061203;0,204509;-1,271268;0,571703;29
2;1;2;180;23,765432;3;-1,009754;-0,086866;-0,055129;0,57581;0,484762;0,114305;29;2;167;19,362473;3;-0,218967;0,45327;0,218045;-0,20903;-0,138131;0,009266;27
2;2;2;178;24,302486;3;-0,743163;-0,787161;-0,564646;-0,57962;0,62983;0,113396;36;2;172;27,041645;1;1,169113;-0,256698;0,212463;-0,294703;0,153366;0,239831;36
2;2;1;170;26,98962;3;0,346999;1,429452;-0,505871;-0,048379;-1,365838;0,429072;37;1;175;19,591837;4;0,080408;1,163238;0,235776;0,314391;-0,187703;0,101883;38
2;2;2;172;27,041645;4;-0,189097;-0,769781;0,513164;1,112603;0,685428;0,508068;41;2;174;21,799444;2;0,634474;-1,052392;-0,267666;-0,678802;-0,120052;-0,087874;39
